Date,Average Daily Expenditure on Medicine B in Dollars
8/26/2012,196.2271936
8/27/2012,192.9425888
8/28/2012,189.8778538
8/29/2012,266.5033368
8/30/2012,182.8918663
8/31/2012,200.5270106
9/1/2012,149.2500153
9/2/2012,152.181579
9/3/2012,176.5939492
9/4/2012,163.4043543
9/5/2012,176.8936567
9/6/2012,244.6181943
9/7/2012,181.5166829
9/8/2012,216.6566964
9/9/2012,218.0809277
9/10/2012,205.3736719
9/11/2012,181.9711872
9/12/2012,210.0535773
9/13/2012,178.5440708
9/14/2012,201.1963996
9/15/2012,227.413887
9/16/2012,218.84805
9/17/2012,150.3226661
9/18/2012,178.2861399
9/19/2012,220.2625398
9/20/2012,164.6438315
9/21/2012,202.3399575
9/22/2012,202.8099206
9/23/2012,207.7569475
9/24/2012,226.9271639
9/25/2012,208.0347791
9/26/2012,231.1014497
9/27/2012,180.5121842
9/28/2012,189.3039279
9/29/2012,257.8030375
9/30/2012,171.4614412
10/1/2012,117.8966001
10/2/2012,207.8613479
10/3/2012,101.2815884
10/4/2012,201.6951483
10/5/2012,158.9881523
10/6/2012,207.1629873
10/7/2012,173.4935672
10/8/2012,185.0145463
10/9/2012,190.1084664
10/10/2012,194.6880681
10/11/2012,197.7030294
10/12/2012,218.5872154
10/13/2012,102.6000963
10/14/2012,167.8061376
10/15/2012,180.243693
10/16/2012,195.5507565
10/17/2012,194.6045875
10/18/2012,237.9178219
10/19/2012,179.9083965
10/20/2012,212.9951586
10/21/2012,247.9454474
10/22/2012,216.9951836
10/23/2012,184.7818343
10/24/2012,193.2161079
10/25/2012,172.7502737
10/26/2012,181.0698568
10/27/2012,166.4590514
10/28/2012,145.7714923
10/29/2012,203.0324347
10/30/2012,177.7773288
10/31/2012,197.7248824
11/1/2012,165.0549345
11/2/2012,149.368425
11/3/2012,143.7178286
11/4/2012,185.955452
11/5/2012,188.8283832
11/6/2012,186.6927947
11/7/2012,196.2092969
11/8/2012,153.5987618
11/9/2012,163.7302558
11/10/2012,221.6526575
11/11/2012,238.489931
11/12/2012,205.7770515
11/13/2012,171.5024268
11/14/2012,221.9072248
11/15/2012,215.6456879
11/16/2012,212.8003875
11/17/2012,211.9597833
11/18/2012,197.0463138
11/19/2012,217.4352145
11/20/2012,202.1411202
11/21/2012,195.5753776
11/22/2012,284.3006717
11/23/2012,281.1184789
11/24/2012,208.7299153
11/25/2012,124.5449429
11/26/2012,195.1724109
11/27/2012,185.7195286
11/28/2012,192.127771
11/29/2012,258.7207594
11/30/2012,214.7849638
12/1/2012,149.4324946
12/2/2012,182.794925
12/3/2012,139.8344015
12/4/2012,218.6938531
12/5/2012,167.9332463
12/6/2012,193.77558
12/7/2012,192.7839885
12/8/2012,237.716887
12/9/2012,206.9269985
12/10/2012,219.696387
12/11/2012,212.994443
12/12/2012,217.7440167
12/13/2012,206.3085439
12/14/2012,158.9136073
12/15/2012,204.6872683
12/16/2012,231.2022009
12/17/2012,232.1418616
12/18/2012,179.2579146
12/19/2012,206.5358547
12/20/2012,186.8336277
12/21/2012,158.8569604
12/22/2012,199.9099369
12/23/2012,201.6259208
12/24/2012,219.444929
12/25/2012,241.06495
12/26/2012,222.1993343
12/27/2012,220.4066844
12/28/2012,231.9766861
12/29/2012,296.8751146
12/30/2012,207.9538126
12/31/2012,236.9572047
1/1/2013,193.6170581
1/2/2013,192.7500401
1/3/2013,215.5222873
1/4/2013,191.6641131
1/5/2013,193.1472084
1/6/2013,224.2331303
1/7/2013,268.9265111
1/8/2013,225.2921851
1/9/2013,260.12291
1/10/2013,276.523479
1/11/2013,228.0838332
1/12/2013,267.387569
1/13/2013,216.8439021
1/14/2013,193.6213578
1/15/2013,202.7845269
1/16/2013,201.0840003
1/17/2013,202.9674688
1/18/2013,210.4132811
1/19/2013,248.9133205
1/20/2013,154.59246
1/21/2013,221.5465019
1/22/2013,146.5709648
1/23/2013,171.0339925
1/24/2013,176.8779528
1/25/2013,211.7463515
1/26/2013,234.4460962
1/27/2013,319.6359285
1/28/2013,155.1442863
1/29/2013,169.3710278
1/30/2013,191.1514498
1/31/2013,189.0609014
2/1/2013,215.6010443
2/2/2013,122.2509974
2/3/2013,236.1699095
2/4/2013,213.0926875
2/5/2013,199.6944979
2/6/2013,262.6686625
2/7/2013,242.0320659
2/8/2013,253.5614746
2/9/2013,257.4209065
2/10/2013,199.5883486
2/11/2013,237.298666
2/12/2013,287.5293699
2/13/2013,158.5785971
2/14/2013,244.9863964
2/15/2013,240.0050148
2/16/2013,231.9025985
2/17/2013,246.6026745
2/18/2013,283.0828348
2/19/2013,179.2823249
2/20/2013,186.2876352
2/21/2013,225.0265985
2/22/2013,216.0862852
2/23/2013,323.1894804
2/24/2013,252.3747
2/25/2013,232.4901376
2/26/2013,177.3223055
2/27/2013,251.1201119
2/28/2013,240.0785868
3/1/2013,211.2564851
3/2/2013,135.3924575
3/3/2013,279.6062989
3/4/2013,228.2805636
3/5/2013,225.3716317
3/6/2013,305.3598001
3/7/2013,234.9110767
3/8/2013,261.6190848
3/9/2013,288.4293861
3/10/2013,259.365237
3/11/2013,238.2150256
3/12/2013,213.5453971
3/13/2013,218.3195708
3/14/2013,219.5361345
3/15/2013,224.1420021
3/16/2013,222.1606845
3/17/2013,184.0495855
3/18/2013,246.9423376
3/19/2013,332.5393223
3/20/2013,213.2703776
3/21/2013,226.5940113
3/22/2013,223.762177
3/23/2013,241.7651875
3/24/2013,218.1072633
3/25/2013,232.815866
3/26/2013,254.2970394
3/27/2013,194.3668086
3/28/2013,211.7918359
3/29/2013,210.4449466
3/30/2013,247.488993
3/31/2013,160.7518313
4/1/2013,192.2426654
4/2/2013,226.9126958
4/3/2013,224.0567494
4/4/2013,215.8156915
4/5/2013,227.7482457
4/6/2013,207.3369441
4/7/2013,265.5845321
4/8/2013,266.3417274
4/9/2013,230.2678738
4/10/2013,228.0430867
4/11/2013,213.3185426
4/12/2013,231.9564521
4/13/2013,254.3461166
4/14/2013,182.786175
4/15/2013,208.769579
4/16/2013,212.9774229
4/17/2013,248.4227588
4/18/2013,218.545779
4/19/2013,238.9977141
4/20/2013,178.9591831
4/21/2013,231.5057077
4/22/2013,328.9662083
4/23/2013,197.6048513
4/24/2013,228.2887203
4/25/2013,228.8425307
4/26/2013,168.0369093
4/27/2013,218.8852328
4/28/2013,179.2910556
4/29/2013,212.3151323
4/30/2013,232.7250562
5/1/2013,130.0725283
5/2/2013,265.0086351
5/3/2013,206.7466563
5/4/2013,214.7511054
5/5/2013,226.2991083
5/6/2013,219.3266203
5/7/2013,227.1973604
5/8/2013,253.2184629
5/9/2013,262.6726167
5/10/2013,196.2871584
5/11/2013,215.9656388
5/12/2013,257.0838696
5/13/2013,235.685749
5/14/2013,218.1079132
5/15/2013,222.5185653
5/16/2013,206.2734729
5/17/2013,265.7983143
5/18/2013,228.7992867
5/19/2013,239.3290364
5/20/2013,202.3015509
5/21/2013,219.4151286
